County,Precinct,Registered Voters,Don Cole (Rep)_Election Day Votes,Don Cole (Rep)_Advanced Voting Votes,Don Cole (Rep)_Absentee by Mail Votes,Don Cole (Rep)_Provisional Votes,Don Cole (Rep)_Choice Total,Sanford Bishop (I) (Dem)_Election Day Votes,Sanford Bishop (I) (Dem)_Advanced Voting Votes,Sanford Bishop (I) (Dem)_Absentee by Mail Votes,Sanford Bishop (I) (Dem)_Provisional Votes,Sanford Bishop (I) (Dem)_Choice Total,Total Votes
Stewart,Richland,1256.0,79.0,192.0,44.0,0.0,315.0,127.0,178.0,210.0,6.0,521.0,836.0
Stewart,Louvale,286.0,32.0,23.0,15.0,1.0,71.0,59.0,35.0,34.0,0.0,128.0,199.0
Stewart,Lumpkin,1134.0,40.0,185.0,22.0,2.0,249.0,73.0,300.0,134.0,1.0,508.0,757.0
Stewart,Omaha,217.0,37.0,17.0,7.0,0.0,61.0,56.0,16.0,16.0,2.0,90.0,151.0
Marion,Pineknot,971.0,282.0,213.0,60.0,0.0,555.0,30.0,46.0,30.0,0.0,106.0,661.0
Marion,Buena Vista,2343.0,82.0,474.0,119.0,0.0,675.0,182.0,548.0,369.0,0.0,1099.0,1774.0
Marion,Tazewell,320.0,91.0,83.0,9.0,0.0,183.0,26.0,21.0,23.0,0.0,70.0,253.0
Marion,Brantley,396.0,65.0,150.0,30.0,0.0,245.0,12.0,22.0,25.0,0.0,59.0,304.0
Marion,Fort Perry,883.0,161.0,209.0,64.0,0.0,434.0,41.0,57.0,44.0,0.0,142.0,576.0
Grady,Blowing Cave,916.0,165.0,274.0,42.0,2.0,483.0,32.0,66.0,26.0,4.0,128.0,611.0
Grady,Cairo 4th District,2532.0,38.0,171.0,69.0,0.0,278.0,204.0,701.0,365.0,3.0,1273.0,1551.0
Grady,Cairo 5th District,2606.0,148.0,608.0,171.0,1.0,928.0,127.0,435.0,208.0,3.0,773.0,1701.0
Grady,Duncanville,470.0,76.0,126.0,35.0,0.0,237.0,13.0,53.0,54.0,0.0,120.0,357.0
Grady,Higdon,854.0,165.0,154.0,72.0,0.0,391.0,70.0,65.0,87.0,0.0,222.0,613.0
Grady,Limesink,320.0,59.0,108.0,23.0,0.0,190.0,6.0,23.0,22.0,0.0,51.0,241.0
Grady,Midway,1412.0,190.0,417.0,132.0,2.0,741.0,43.0,117.0,81.0,0.0,241.0,982.0
Grady,Pine Park,1003.0,144.0,225.0,57.0,2.0,428.0,71.0,117.0,52.0,0.0,240.0,668.0
Grady,Ragan,475.0,94.0,99.0,42.0,0.0,235.0,20.0,54.0,45.0,0.0,119.0,354.0
